"Respuesta","Enviado.el.","Q01_Genero","Q02_FechaNac","Q03_Carrera","Q04_Semestre","Q05_Saber11","Q06_PercentilSaber11","Q07_FechaSaber11","Q08_PAPA","Q09_EnAreaMetropolitana","Q10_Estrato","Q11_R","Q12_RStudio","Q13_NoRoRStudio","Q14_RecursosInformaticos..Internet.de.cable.propio","Q14_RecursosInformaticos..Internet.de.cable.no.propio","Q14_RecursosInformaticos..Wifi.propio","Q14_RecursosInformaticos..Wifi.no.propio","Q14_RecursosInformaticos..Celular.sin.datos","Q14_RecursosInformaticos..Celular.con.datos","Q14_RecursosInformaticos..Portátil.propio","Q14_RecursosInformaticos..Portátil.no.propio","Q14_RecursosInformaticos..Computador.de.escritorio.propio.y.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.no.propio.pero.exclusivo","Q14_RecursosInformaticos..Computador.propio..pero.no.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.ni.propio.ni.exclusivo","Q14_RecursosInformaticos..Tablet.sin.datos","Q14_RecursosInformaticos..Tablet.con.datos.","Q15_Alunizaje","Q16_EspionajeInternet","Q17_Experimentos","Q18_Vacunas","Q19_EvidenciaFalsa","Q20_RafagasSolares","Q21_TierraHueca","Q22_alienigenas","Q23_CambioClimatico","Q24_area","Q25_PorcentArea","Q26_Divisor..f.es.divisor.de.g.2.","Q26_Divisor..f.es.divisor.de.gh.","Q26_Divisor..f.es.divisor.de.h.g","Q27_PorcentDivisor"
"2439","26/02/2021 09:43:10","1 : Masculino","1997-01-17","1 : Matemáticas",7,420,3,"2014-08-26",3.7,1,"4 : 3",1,1,"",0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,"4 : 4*pi",45,1,1,0,35
"2459","26/02/2021 09:47:45","1 : Masculino","1998-07-26","2 : Ingeniería de sistemas e informática",5.3,347,90.9,"2015-08-02",3.4,1,"3 : 2",1,1,"",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"4 : 4*pi",70,1,1,0,90
"2517","26/02/2021 09:56:39","1 : Masculino","1996-09-05","2 : Ingeniería de sistemas e informática",7.7,270,75,"2013-04-13",3.8,1,"4 : 3",0,1,"",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,"6 : Ninguna de las anteriores",20,1,1,0,40
"2448","26/02/2021 09:55:11","1 : Masculino","1997-01-20","2 : Ingeniería de sistemas e informática",6,325,70,"2014-08-14",4.6,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"6 : Ninguna de las anteriores",50,1,1,0,20
"2499","26/02/2021 09:56:13","1 : Masculino","1990-08-23","2 : Ingeniería de sistemas e informática",7.6,430,85,"2008-09-20",3.7,1,"3 : 2",1,1,"n/a",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,"6 : Ninguna de las anteriores",95,1,1,0,80
"2505","26/02/2021 09:46:19","1 : Masculino","1982-07-19","2 : Ingeniería de sistemas e informática",4,0,0,"1999-08-21",3.3,1,"4 : 3",1,1,"",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"1 : 7.5*pi",70,1,1,0,60
"2503","26/02/2021 09:43:31","1 : Masculino","1998-03-23","4 : Ingeniería administrativa",8,380,80,"2014-10-30",4.3,1,"6 : 5",1,1,"",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"6 : Ninguna de las anteriores",40,1,1,0,20
"2515","26/02/2021 09:52:45","1 : Masculino","1994-10-12","7 : Otra",7,73,5,"2010-11-04",NA,1,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"4 : 4*pi",80,1,0,0,50
"2484","26/02/2021 09:45:33","1 : Masculino","1993-02-26","3 : Estadística",3,380,70,"2009-12-01",3.8,1,"4 : 3",1,1,"",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"2 : 6*pi",15,0,1,1,20
"2454","26/02/2021 09:49:14","1 : Masculino","1997-01-09","2 : Ingeniería de sistemas e informática",5,300,60,"2013-08-03",4.2,1,"3 : 2",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4 : 4*pi",95,1,1,1,90
"2493","26/02/2021 09:48:42","1 : Masculino","1994-03-26","2 : Ingeniería de sistemas e informática",7.5,580,90,"2009-09-16",4.1,1,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"4 : 4*pi",60,1,1,1,65
"2511","26/02/2021 09:55:20","1 : Masculino","1996-04-11","3 : Estadística",7,350,80,"2012-08-26",4.2,0,"2 : 1",1,1,"",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"4 : 4*pi",60,1,0,0,30
"2510","26/02/2021 09:53:01","2 : Femenino","1996-08-08","3 : Estadística",7,330,80,"2013-08-15",4.2,0,"2 : 1",1,1,"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"4 : 4*pi",30,1,0,0,20
"2502","26/02/2021 09:49:59","2 : Femenino","1999-08-19","3 : Estadística",5.5,368,97,"2015-09-26",4,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"4 : 4*pi",50,0,1,0,20
"2431","26/02/2021 09:39:24","1 : Masculino","1999-08-17","3 : Estadística",5.2,406,100,"2016-07-31",4.6,1,"3 : 2",1,1,"",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4 : 4*pi",70,1,1,0,33
